regine,parameter,source,proportion_pct
001.,tot-n,agri,43.696515925509686
001.,tot-n,aqu,0.0
001.,tot-n,ind,7.6472106980446615
001.,tot-n,nat-diff,40.943825324065415
001.,tot-n,ren,3.7464832946787423
001.,tot-n,spr,3.333761468066932
001.,tot-n,urban,0.6322410807260119
001.,tot-p,agri,39.30255459505537
001.,tot-p,aqu,0.0
001.,tot-p,ind,38.49405669383898
001.,tot-p,nat-diff,14.01948688090244
001.,tot-p,ren,0.4419765199057647
001.,tot-p,spr,4.387007756564651
001.,tot-p,urban,3.37704270946447
002.,tot-n,agri,49.480462394023846
002.,tot-n,aqu,0.0
002.,tot-n,ind,1.9392759839982858
002.,tot-n,nat-diff,32.967124760885795
002.,tot-n,ren,12.181260348806656
002.,tot-n,spr,2.8619716159374375
002.,tot-n,urban,0.5699053526085402
002.,tot-p,agri,53.33268721672539
002.,tot-p,aqu,0.0
002.,tot-p,ind,10.403950519144562
002.,tot-p,nat-diff,19.615039244141087
002.,tot-p,ren,6.083094195770965
002.,tot-p,spr,7.54450885026065
002.,tot-p,urban,3.021976250371357
003.,tot-n,agri,58.459118699632846
003.,tot-n,aqu,0.0
003.,tot-n,ind,0.0
003.,tot-n,nat-diff,35.47648934328133
003.,tot-n,ren,1.12524333178342
003.,tot-n,spr,3.414309947092015
003.,tot-n,urban,1.524462235966033
003.,tot-p,agri,76.27753434396048
003.,tot-p,aqu,0.0
003.,tot-p,ind,0.22355905298238885
003.,tot-p,nat-diff,10.896479800746935
003.,tot-p,ren,0.13200602824602298
003.,tot-p,spr,6.459159727523328
003.,tot-p,urban,6.0260320952853
004.,tot-n,agri,54.44267999792174
004.,tot-n,aqu,0.006083934029723902
004.,tot-n,ind,0.0
004.,tot-n,nat-diff,13.054202786538957
004.,tot-n,ren,28.572061937370904
004.,tot-n,spr,3.217611929797846
004.,tot-n,urban,0.7052042181993524
004.,tot-p,agri,70.17610662324658
004.,tot-p,aqu,0.03258129915610723
004.,tot-p,ind,0.0
004.,tot-p,nat-diff,8.01484538067313
004.,tot-p,ren,8.171813402238916
004.,tot-p,spr,9.763071000379693
004.,tot-p,urban,3.8106818075930775
005.,tot-n,agri,62.25779433961749
005.,tot-n,aqu,0.0
005.,tot-n,ind,0.0
005.,tot-n,nat-diff,17.275797244437822
005.,tot-n,ren,12.891450744798712
005.,tot-n,spr,5.2674950579213915
005.,tot-n,urban,2.308145789996567
005.,tot-p,agri,53.94501907837787
005.,tot-p,aqu,0.0
005.,tot-p,ind,0.0
005.,tot-p,nat-diff,8.998014603348697
005.,tot-p,ren,7.259415517160091
005.,tot-p,spr,21.245025427383503
005.,tot-p,urban,8.735267695533981
006.,tot-n,agri,13.457741258469543
006.,tot-n,aqu,0.0
006.,tot-n,ind,10.713128410782861
006.,tot-n,nat-diff,46.761614622980886
006.,tot-n,ren,0.017021447659310858
006.,tot-n,spr,1.23257421474929
006.,tot-n,urban,27.81304547531395
006.,tot-p,agri,4.304158981029574
006.,tot-p,aqu,0.0
006.,tot-p,ind,43.20036019307203
006.,tot-p,nat-diff,6.808990656591234
006.,tot-p,ren,0.0
006.,tot-p,spr,1.0244761871046868
006.,tot-p,urban,44.69396181162039
007.,tot-n,agri,24.873464199137356
007.,tot-n,aqu,0.0
007.,tot-n,ind,0.0
007.,tot-n,nat-diff,62.06736632238737
007.,tot-n,ren,0.012016229918441442
007.,tot-n,spr,1.7564146470759952
007.,tot-n,urban,11.275410682909943
007.,tot-p,agri,23.604062789339203
007.,tot-p,aqu,0.0
007.,tot-p,ind,0.0
007.,tot-p,nat-diff,25.681071855408284
007.,tot-p,ren,0.0
007.,tot-p,spr,4.079132805236987
007.,tot-p,urban,46.81313794691586
008.,tot-n,agri,58.766044715532665
008.,tot-n,aqu,0.0
008.,tot-n,ind,0.0
008.,tot-n,nat-diff,29.406018325763633
008.,tot-n,ren,0.27380159469849297
008.,tot-n,spr,2.5515761180748635
008.,tot-n,urban,9.005009258176091
008.,tot-p,agri,49.854169137312304
008.,tot-p,aqu,0.0
008.,tot-p,ind,0.0
008.,tot-p,nat-diff,12.20307070182435
008.,tot-p,ren,0.0
008.,tot-p,spr,5.662244630138552
008.,tot-p,urban,32.21229021391303
009.,tot-n,agri,41.28737958063253
009.,tot-n,aqu,0.0
009.,tot-n,ind,27.346900507189606
009.,tot-n,nat-diff,17.464095556765805
009.,tot-n,ren,7.8614597643119595
009.,tot-n,spr,3.3664213006416555
009.,tot-n,urban,2.672189954719067
009.,tot-p,agri,54.540070679921406
009.,tot-p,aqu,0.0
009.,tot-p,ind,0.0
009.,tot-p,nat-diff,10.924937643089285
009.,tot-p,ren,2.5174477050252357
009.,tot-p,spr,17.282964971541354
009.,tot-p,urban,14.77465916074336
010.,tot-n,agri,54.96168984821073
010.,tot-n,aqu,0.0
010.,tot-n,ind,0.0
010.,tot-n,nat-diff,31.075071094630555
010.,tot-n,ren,8.524108475953208
010.,tot-n,spr,3.669175366856785
010.,tot-n,urban,1.7676666229767022
010.,tot-p,agri,58.61627218939268
010.,tot-p,aqu,0.0
010.,tot-p,ind,0.0
010.,tot-p,nat-diff,14.053826447830408
010.,tot-p,ren,3.157737989651214
010.,tot-p,spr,15.322255790930075
010.,tot-p,urban,8.84812743088276
011.,tot-n,agri,60.90175736033713
011.,tot-n,aqu,0.0
011.,tot-n,ind,0.0
011.,tot-n,nat-diff,27.62624681195151
011.,tot-n,ren,6.511580680576597
011.,tot-n,spr,3.770050844550974
011.,tot-n,urban,1.189729945821549
011.,tot-p,agri,64.68526248354837
011.,tot-p,aqu,0.0
011.,tot-p,ind,0.0
